name,lat,lng,capacity,actual_volume
中國銀行（香港） Bank of China (Hong Kong),22.335703,114.197143,120,11121
中國銀行（香港） Bank of China (Hong Kong),22.322518,114.167269,100,23316
中國銀行（香港） Bank of China (Hong Kong),22.306628,114.171697,80,4707
中國銀行（香港） Bank of China (Hong Kong),22.3825,114.271904,150,32928
中國銀行（香港） Bank of China (Hong Kong),22.378245,114.136533,200,41696
中國銀行（香港） Bank of China (Hong Kong),22.396646,113.969796,100,18514
中國銀行（香港） Bank of China (Hong Kong),22.294848,114.23912,200,15265
中國銀行（香港） Bank of China (Hong Kong),22.317465,114.190493,200,46387
中國銀行（香港） Bank of China (Hong Kong),22.337309,114.174982,150,37823
中國銀行（香港） Bank of China (Hong Kong),22.286323,114.219612,200,41231
中國銀行（香港） Bank of China (Hong Kong),22.334243,114.209042,100,19684
中國銀行（香港） Bank of China (Hong Kong),22.280123,114.225163,150,38839
中國銀行（香港） Bank of China (Hong Kong),22.368585,114.122177,120,16365
中國銀行（香港） Bank of China (Hong Kong),22.412073,113.97174,200,27865
中國銀行（香港） Bank of China (Hong Kong),22.274392,114.172922,100,8943
中國銀行（香港） Bank of China (Hong Kong),22.319232,114.167982,120,5355
中國銀行（香港） Bank of China (Hong Kong),22.279327,114.180635,200,18125
中國銀行（香港） Bank of China (Hong Kong),22.291833,114.206617,100,4158
中國銀行（香港） Bank of China (Hong Kong),22.322539,114.216638,80,7229
中國銀行（香港） Bank of China (Hong Kong),22.28086,114.182451,80,18329
中國銀行（香港） Bank of China (Hong Kong),22.290219,114.196517,80,12249
中國銀行（香港） Bank of China (Hong Kong),22.383369,114.190011,120,22461
中國銀行（香港） Bank of China (Hong Kong),22.277196,114.182164,100,15863
中國銀行（香港） Bank of China (Hong Kong),22.45849,114.171476,200,33353
中國銀行（香港） Bank of China (Hong Kong),22.28448,114.213222,100,21261
中國銀行（香港） Bank of China (Hong Kong),22.327698,114.188393,150,12283
中國銀行（香港） Bank of China (Hong Kong),22.32007,114.177061,80,14798
中國銀行（香港） Bank of China (Hong Kong),22.504885,114.126992,120,15982
中國銀行（香港） Bank of China (Hong Kong),22.280982,114.152512,150,34506
中銀 BOC,22.336955,114.26315,80,15051
